athlete_age,athlete_gender,distance_km,avg_speed,sample_size
16.0,F,50.0,6.803120879120878,91
16.0,F,80.467,6.493809523809524,21
16.0,F,100.0,5.6110999999999995,20
16.0,M,50.0,7.682548192771085,332
16.0,M,54.71756,4.765142857142857,28
16.0,M,55.0,7.3403809523809525,21
16.0,M,55.6,4.952090909090909,11
16.0,M,71.5,3.9532000000000003,15
16.0,M,80.467,7.125515789473684,95
16.0,M,100.0,4.8456172839506175,81
17.0,F,50.0,7.116430769230769,130
17.0,F,55.0,6.332307692307692,13
17.0,F,80.467,6.66688,25
17.0,F,100.0,4.7098,25
17.0,M,45.0,7.556782608695653,23
17.0,M,50.0,7.937309859154929,497
17.0,M,54.71756,4.807571428571428,21
17.0,M,55.0,6.732034482758621,29
17.0,M,55.6,4.890142857142857,14
17.0,M,60.0,6.832142857142857,21
17.0,M,64.3736,7.686545454545455,11
17.0,M,80.467,7.369666666666666,147
17.0,M,100.0,5.26229104477612,134
17.0,M,160.934,5.808333333333333,27
18.0,F,47.3,3.277368421052632,19
18.0,F,50.0,7.129154205607477,214
18.0,F,55.0,5.97005,20
18.0,F,60.0,6.811153846153847,13
18.0,F,80.467,6.677509433962264,53
18.0,F,100.0,4.466686567164179,67
18.0,M,45.0,7.219808510638298,47
18.0,M,45.06152,7.9092142857142855,14
18.0,M,46.0,7.079307692307693,13
18.0,M,47.3,3.866857142857143,14
18.0,M,48.0,7.278235294117647,17
18.0,M,48.5,3.8769166666666663,24
18.0,M,49.0,6.324916666666667,12
18.0,M,50.0,8.035618311533888,841
18.0,M,51.0,7.053888888888888,18
18.0,M,52.0,6.72083870967742,31
18.0,M,53.0,6.61765,20
18.0,M,54.71756,5.229357142857142,14
18.0,M,55.0,6.2285,82
18.0,M,55.6,5.3045333333333335,15
18.0,M,56.0,8.505594594594594,37
18.0,M,60.0,7.560442307692308,52
18.0,M,63.0,6.005857142857143,14
18.0,M,64.3736,9.079210526315789,19
18.0,M,65.0,7.2469230769230775,26
18.0,M,70.0,6.905214285714286,14
18.0,M,71.5,4.538666666666667,15
18.0,M,80.0,6.804,20
18.0,M,80.467,7.5270572519083965,262
18.0,M,87.0,8.514763157894736,38
18.0,M,89.0,9.00623076923077,13
18.0,M,90.0,6.062636363636363,11
18.0,M,100.0,5.586196374622356,331
18.0,M,160.934,5.943387755102041,49
19.0,F,45.0,7.341466666666666,15
19.0,F,47.3,3.3950434782608694,23
19.0,F,48.5,3.8237083333333337,24
19.0,F,50.0,7.272561611374408,422
19.0,F,51.7,3.5050000000000003,12
19.0,F,52.0,6.686545454545455,11
19.0,F,54.71756,4.2032727272727275,11
19.0,F,55.0,6.681095238095238,21
19.0,F,56.0,8.432416666666667,12
19.0,F,60.0,7.498099999999999,20
19.0,F,80.467,6.95350925925926,108
19.0,F,100.0,5.200098214285714,112
19.0,F,160.934,6.109230769230769,13
19.0,M,45.0,7.042428571428571,63
19.0,M,46.0,7.04225,20
19.0,M,47.0,7.2658571428571435,14
19.0,M,47.3,3.8383103448275864,29
19.0,M,48.0,6.826892857142857,28
19.0,M,48.2802,8.367058823529412,17
19.0,M,48.5,4.150272727272728,22
19.0,M,49.0,7.3320625,16
19.0,M,50.0,8.257406601650413,1333
19.0,M,51.0,7.222153846153846,26
19.0,M,52.0,7.584270833333334,48
19.0,M,53.0,6.441892857142856,28
19.0,M,54.0,7.426461538461538,26
19.0,M,54.71756,4.921666666666667,24
19.0,M,55.0,6.939955555555556,90
19.0,M,55.6,4.755583333333333,12
19.0,M,56.0,9.821280898876404,89
19.0,M,57.0,6.16816,25
19.0,M,58.0,6.69925,12
19.0,M,60.0,7.622424657534247,73
19.0,M,63.0,6.810704545454545,44
19.0,M,64.0,6.687352941176471,17
19.0,M,64.3736,7.209722222222222,18
19.0,M,65.0,6.75069387755102,49
19.0,M,69.0,7.350416666666667,12
19.0,M,70.0,6.70127659574468,47
19.0,M,71.5,4.051444444444445,18
19.0,M,73.0,6.0051875,16
19.0,M,75.0,6.770999999999999,20
19.0,M,80.0,6.735875,24
19.0,M,80.467,7.661021113243762,521
19.0,M,87.0,8.502385416666668,96
19.0,M,89.0,8.558636363636364,55
19.0,M,100.0,6.032037861915368,449
19.0,M,105.0,6.0114117647058825,17
19.0,M,110.0,5.342,15
19.0,M,111.0,5.045727272727273,11
19.0,M,160.934,6.290057692307693,52
19.0,M,250.0,4.333181818181818,11
20.0,F,45.0,7.003862068965517,29
20.0,F,47.0,5.477454545454545,11
20.0,F,47.3,3.495,13
20.0,F,48.2802,6.741214285714285,14
20.0,F,50.0,7.410197916666667,672
20.0,F,51.7,4.181772727272727,22
20.0,F,52.0,6.692384615384616,13
20.0,F,54.71756,4.459470588235294,17
20.0,F,55.0,6.567255813953488,43
20.0,F,56.0,8.77036,25
20.0,F,60.0,8.282625,24
20.0,F,72.0,6.78925,12
20.0,F,80.467,7.253099290780142,141
20.0,F,87.0,7.920571428571428,14
20.0,F,100.0,5.568094527363184,201
20.0,F,160.934,5.783214285714286,14
20.0,M,45.0,7.363446153846154,195
20.0,M,45.06152,8.216363636363637,11
20.0,M,46.0,7.555307692307692,52
20.0,M,47.0,6.809413043478261,46
20.0,M,47.3,3.581933333333333,15
20.0,M,48.0,7.4277313432835825,67
20.0,M,48.2802,8.559958333333332,24
20.0,M,48.5,4.781263157894737,19
20.0,M,49.0,6.603354838709678,31
20.0,M,50.0,8.579328110599079,2170
20.0,M,51.0,7.631607843137255,51
20.0,M,51.49888,8.83555,20
20.0,M,51.7,3.652136363636364,22
20.0,M,52.0,7.494593023255813,86
20.0,M,53.0,7.152922077922078,77
20.0,M,54.0,7.289000000000001,52
20.0,M,54.71756,5.152137931034483,29
20.0,M,55.0,7.066342657342657,143
20.0,M,55.6,4.721642857142856,14
20.0,M,56.0,9.160732718894009,217
20.0,M,57.0,6.523823529411764,34
20.0,M,58.0,8.24044,25
20.0,M,60.0,7.3455625,144
20.0,M,61.0,6.265481481481482,27
20.0,M,62.0,6.817333333333334,30
20.0,M,63.0,6.768727272727273,77
20.0,M,64.0,6.631238095238095,21
20.0,M,64.3736,8.372166666666667,48
20.0,M,65.0,6.720150537634409,93
20.0,M,66.0,6.911833333333333,18
20.0,M,67.0,6.988541666666666,24
20.0,M,68.0,6.886318181818182,66
20.0,M,69.0,7.3757,40
20.0,M,70.0,6.701602150537635,93
20.0,M,71.0,7.1806363636363635,11
20.0,M,71.5,4.355463414634147,41
20.0,M,72.0,6.980357142857143,84
20.0,M,73.0,6.105761904761905,21
20.0,M,74.0,6.574714285714285,14
20.0,M,75.0,7.092716666666666,60
20.0,M,76.0,7.41145,20
20.0,M,77.0,6.082352941176471,17
20.0,M,78.0,7.050513513513514,37
20.0,M,80.0,6.7139999999999995,86
20.0,M,80.467,7.699638888888889,720
20.0,M,81.0,6.095307692307693,13
20.0,M,82.0,6.217076923076923,13
20.0,M,85.0,6.848857142857143,14
20.0,M,87.0,8.540994652406416,187
20.0,M,89.0,9.034014814814816,135
20.0,M,90.0,5.978000000000001,12
20.0,M,100.0,6.321486161251504,831
20.0,M,101.0,5.542642857142858,14
20.0,M,102.0,5.351,11
20.0,M,105.0,6.027733333333333,15
20.0,M,110.0,5.681653846153846,26
20.0,M,111.0,4.777571428571428,14
20.0,M,125.0,4.275181818181818,11
20.0,M,160.934,5.992795275590551,127
21.0,F,45.0,6.667880952380952,42
21.0,F,46.0,7.0473684210526315,19
21.0,F,47.0,6.6792,15
21.0,F,48.0,6.783785714285714,14
21.0,F,48.2802,6.9181923076923075,26
21.0,F,50.0,7.520185004868549,1027
21.0,F,51.0,6.07652380952381,21
21.0,F,51.7,3.431857142857143,21
21.0,F,52.0,6.7281249999999995,24
21.0,F,53.0,6.896,15
21.0,F,54.0,7.499153846153846,13
21.0,F,54.71756,4.576708333333333,24
21.0,F,55.0,6.524121212121212,66
21.0,F,56.0,8.697548780487804,82
21.0,F,60.0,7.0276499999999995,60
21.0,F,64.3736,7.427846153846153,13
21.0,F,65.0,6.6338,25
21.0,F,70.0,6.136,16
21.0,F,72.0,6.543333333333333,18
21.0,F,80.0,7.1253125,16
21.0,F,80.467,7.209982608695652,230
21.0,F,87.0,7.838810810810811,37
21.0,F,89.0,8.535304347826086,23
21.0,F,100.0,5.745172995780591,237
21.0,F,160.934,6.182875,32
21.0,M,45.0,7.621663865546218,238
21.0,M,45.06152,7.454583333333333,12
21.0,M,45.5,6.532583333333334,12
21.0,M,46.0,7.883155172413793,116
21.0,M,47.0,7.031146666666666,75
21.0,M,47.3,4.023166666666667,12
21.0,M,48.0,7.401227272727272,88
21.0,M,48.2802,7.742875,32
21.0,M,49.0,7.069283333333333,60
21.0,M,50.0,8.595393355481727,3010
21.0,M,51.0,6.81519801980198,101
21.0,M,51.49888,8.350217391304348,23
21.0,M,51.7,3.7306666666666666,27
21.0,M,52.0,7.6745467625899275,139
21.0,M,52.5,8.81409090909091,11
21.0,M,53.0,6.706655172413794,87
21.0,M,53.10822,8.422111111111112,18
21.0,M,54.0,7.43406329113924,79
21.0,M,54.71756,5.633896551724138,29
21.0,M,55.0,7.301109022556391,266
21.0,M,55.6,5.1013125,16
21.0,M,56.0,9.464470422535213,355
21.0,M,57.0,6.800065573770492,61
21.0,M,58.0,7.276571428571429,49
21.0,M,59.0,6.552250000000001,20
21.0,M,60.0,7.249777777777778,225
21.0,M,61.0,6.688255813953489,43
21.0,M,62.0,7.057379310344828,58
21.0,M,63.0,6.75910975609756,82
21.0,M,64.0,6.8578399999999995,50
21.0,M,64.3736,7.9824761904761905,42
21.0,M,65.0,6.687041322314049,121
21.0,M,66.0,6.504548387096774,31
21.0,M,67.0,6.344586956521739,46
21.0,M,68.0,6.930481927710844,83
21.0,M,69.0,7.72427868852459,61
21.0,M,70.0,6.69395205479452,146
21.0,M,71.0,6.401285714285714,14
21.0,M,71.5,4.5717209302325585,43
21.0,M,72.0,7.083220338983051,118
21.0,M,72.4203,9.823470588235294,17
21.0,M,72.7,9.1062,20
21.0,M,73.0,6.399547169811321,53
21.0,M,74.0,6.5095882352941175,17
21.0,M,75.0,7.6678969072164955,97
21.0,M,76.0,6.879219512195122,41
21.0,M,77.0,6.7894,30
21.0,M,78.0,7.334794117647059,68
21.0,M,80.0,6.715831932773109,119
21.0,M,80.467,7.701630434782608,966
21.0,M,81.0,6.884277777777778,36
21.0,M,82.0,5.5361875000000005,16
21.0,M,83.0,6.018428571428571,14
21.0,M,84.0,5.59878947368421,19
21.0,M,85.0,5.697461538461538,39
21.0,M,86.0,5.777857142857143,21
21.0,M,87.0,8.58631,300
21.0,M,88.0,6.565769230769231,13
21.0,M,89.0,9.066624472573839,237
21.0,M,90.0,6.2534,30
21.0,M,98.0,5.269727272727272,11
21.0,M,100.0,6.479820392890552,1069
21.0,M,101.0,6.073068181818183,44
21.0,M,102.0,4.993454545454546,22
21.0,M,103.0,5.941999999999999,11
21.0,M,105.0,5.851555555555556,27
21.0,M,106.0,4.860473684210526,19
21.0,M,110.0,6.10553125,32
21.0,M,111.0,5.476222222222223,18
21.0,M,119.0,4.924818181818182,11
21.0,M,124.0,4.392470588235294,17
21.0,M,125.0,4.977333333333333,12
21.0,M,160.934,6.036809045226131,199
21.0,M,250.0,5.262266666666666,30
22.0,F,45.0,6.559096385542168,83
22.0,F,46.0,7.23404,25
22.0,F,48.0,6.9254444444444445,27
22.0,F,48.2802,7.8424000000000005,20
22.0,F,50.0,7.4384717770034845,1435
22.0,F,51.0,5.788888888888889,18
22.0,F,51.49888,7.2426666666666675,12
22.0,F,51.7,3.552769230769231,26
22.0,F,52.0,6.803027027027027,37
22.0,F,53.0,7.280363636363637,22
22.0,F,54.0,6.268392857142857,28
22.0,F,54.71756,4.4654390243902435,41
22.0,F,55.0,6.559360824742268,97
22.0,F,56.0,8.697121495327103,107
22.0,F,57.0,6.056791666666666,24
22.0,F,58.0,5.962214285714286,14
22.0,F,60.0,6.764149999999999,80
22.0,F,62.0,6.171461538461538,13
22.0,F,63.0,5.8611,20
22.0,F,64.0,6.348416666666666,12
22.0,F,64.3736,7.530125,16
22.0,F,65.0,6.129892857142857,28
22.0,F,68.0,6.304466666666667,15
22.0,F,70.0,5.834909090909091,22
22.0,F,72.0,6.666266666666667,15
22.0,F,75.0,7.011894736842105,19
22.0,F,80.0,6.464117647058823,17
22.0,F,80.467,7.290848024316109,329
22.0,F,85.0,6.14375,12
22.0,F,87.0,7.983954545454546,66
22.0,F,89.0,8.238083333333334,48
22.0,F,90.0,7.110454545454545,11
22.0,F,100.0,5.804387755102041,343
22.0,F,160.934,6.0370877192982455,57
22.0,F,250.0,4.7,12
22.0,M,45.0,7.5630235294117645,340
22.0,M,45.06152,8.2582,15
22.0,M,45.5,7.143454545454546,11
22.0,M,46.0,7.667585106382979,188
22.0,M,47.0,7.486970873786408,103
22.0,M,48.0,7.357944827586207,145
22.0,M,48.2802,8.040820512820513,39
22.0,M,48.5,3.912785714285714,14
22.0,M,49.0,7.671125,72
22.0,M,49.8,4.686533333333333,15
22.0,M,50.0,8.531899068322982,3864
22.0,M,51.0,7.078811023622047,127
22.0,M,51.49888,7.7549166666666665,24
22.0,M,51.7,4.763727272727272,22
22.0,M,52.0,7.537024096385542,166
22.0,M,52.2,4.8434375,16
22.0,M,52.5,7.970166666666667,12
22.0,M,53.0,7.326941176470589,136
22.0,M,53.10822,8.727545454545455,22
22.0,M,54.0,7.35051376146789,109
22.0,M,54.71756,5.46340350877193,57
22.0,M,55.0,7.154268786127168,346
22.0,M,55.6,5.447583333333333,12
22.0,M,56.0,9.398243119266056,436
22.0,M,56.3269,7.559749999999999,20
22.0,M,57.0,6.637046153846154,65
22.0,M,58.0,7.406169230769231,65
22.0,M,59.0,7.045138888888889,36
22.0,M,60.0,7.268762214983714,307
22.0,M,61.0,6.31938596491228,57
22.0,M,62.0,7.140403225806451,62
22.0,M,62.8,6.7061875,16
22.0,M,63.0,6.513827868852459,122
22.0,M,63.3,10.148692307692308,13
22.0,M,64.0,7.085338709677419,62
22.0,M,64.3736,7.6963823529411775,68
22.0,M,65.0,6.698703296703297,182
22.0,M,65.5,6.550818181818181,11
22.0,M,66.0,7.061333333333333,51
22.0,M,66.8,6.21625,12
22.0,M,67.0,7.077464285714286,56
22.0,M,68.0,7.120163793103448,116
22.0,M,69.0,7.511924528301887,106
22.0,M,70.0,6.473254658385093,161
22.0,M,71.5,4.485232558139535,43
22.0,M,72.0,7.220477011494253,174
22.0,M,72.4203,8.131466666666666,15
22.0,M,72.7,8.85304,25
22.0,M,73.0,6.641071428571428,70
22.0,M,74.0,6.39104761904762,21
22.0,M,75.0,7.154704,125
22.0,M,76.0,7.3497543859649115,57
22.0,M,77.0,6.840325,40
22.0,M,78.0,7.446211538461539,104
22.0,M,80.0,6.720048780487804,164
22.0,M,80.467,7.850388489208632,1112
22.0,M,81.0,6.8321836734693875,49
22.0,M,82.0,5.754333333333333,33
22.0,M,83.0,6.134083333333333,12
22.0,M,84.0,6.800909090909091,33
22.0,M,84.329416,7.496888888888888,18
22.0,M,85.0,6.5017555555555555,45
22.0,M,86.0,6.251129032258064,31
22.0,M,87.0,8.696692105263157,380
22.0,M,88.0,6.23437037037037,27
22.0,M,89.0,9.068610223642173,313
22.0,M,90.0,7.212229166666667,48
22.0,M,95.0,4.906909090909091,11
22.0,M,98.0,5.341888888888889,18
22.0,M,100.0,6.450470193740686,1342
22.0,M,101.0,5.983695652173913,69
22.0,M,102.0,5.716705882352941,34
22.0,M,103.0,5.85145,20
22.0,M,104.0,5.612727272727273,11
22.0,M,105.0,5.568016393442623,61
22.0,M,106.0,5.171923076923077,26
22.0,M,110.0,5.788666666666667,57
22.0,M,111.0,6.13655,20
22.0,M,112.0,5.769277777777777,18
22.0,M,119.0,4.774142857142857,14
22.0,M,120.0,5.391266666666667,15
22.0,M,124.0,4.56775,16
22.0,M,125.0,5.1149545454545455,22
22.0,M,130.0,4.42475,12
22.0,M,160.934,6.117045454545455,308
22.0,M,250.0,5.255584905660378,53
23.0,F,45.0,7.04445871559633,109
23.0,F,46.0,7.30075,36
23.0,F,47.0,6.346,17
23.0,F,48.0,6.7977,50
23.0,F,48.2802,7.443263157894736,38
23.0,F,48.5,3.922166666666667,12
23.0,F,49.0,7.09221052631579,19
23.0,F,49.8,4.444923076923077,13
23.0,F,50.0,7.4771443726937274,2168
23.0,F,50.3,3.375,13
23.0,F,51.0,5.914290322580645,31
23.0,F,51.49888,7.072636363636364,11
23.0,F,51.7,3.4751600000000002,25
23.0,F,52.0,6.449206896551725,87
23.0,F,53.0,6.413102040816327,49
23.0,F,53.10822,7.555692307692308,13
23.0,F,54.0,6.799653846153846,26
23.0,F,54.71756,4.561194444444444,36
23.0,F,55.0,6.548805084745763,118
23.0,F,56.0,8.538461538461538,156
23.0,F,57.0,5.839454545454546,11
23.0,F,60.0,7.094365217391304,115
23.0,F,61.0,5.567461538461539,13
23.0,F,62.0,6.386,16
23.0,F,63.0,6.2852,25
23.0,F,64.0,5.899117647058823,17
23.0,F,64.3736,7.3469999999999995,30
23.0,F,65.0,6.309520833333334,48
23.0,F,66.0,6.0826666666666656,12
23.0,F,68.0,6.630444444444445,18
23.0,F,69.0,6.6685,16
23.0,F,70.0,5.8635,34
23.0,F,72.0,6.780173913043478,23
23.0,F,75.0,5.9962800000000005,25
23.0,F,76.0,5.873090909090909,11
23.0,F,78.0,6.71359090909091,22
23.0,F,80.0,6.609678571428572,28
23.0,F,80.467,7.300016393442623,488
23.0,F,85.0,5.971357142857143,14
23.0,F,87.0,7.815265822784809,79
23.0,F,89.0,8.349866666666667,60
