athlete_country,year_of_event,total_finishers
FRA,2018,96858
FRA,2019,90953
USA,2018,90615
FRA,2022,86164
USA,2019,82915
FRA,2016,74286
USA,2016,71837
FRA,2017,70953
USA,2022,69043
USA,2021,65511
USA,2017,63212
FRA,2021,54604
JPN,2018,52135
FRA,2015,50659
FRA,2014,48406
JPN,2016,45879
USA,2014,45384
RSA,2018,45157
USA,2015,44749
FRA,2013,44491
USA,2013,43391
CHN,2019,42877
CHN,2018,42516
USA,2012,39822
FRA,2012,39773
JPN,2019,37670
GBR,2018,36802
GBR,2019,36019
FRA,2011,32926
USA,2011,31844
JPN,2017,31496
JPN,2022,30275
USA,2020,30069
CHN,2020,28964
GBR,2017,28320
USA,2010,27779
GBR,2016,27278
ITA,2018,26927
CHN,2017,26687
JPN,2015,26128
FRA,2010,25888
JPN,2014,25595
ESP,2019,25186
ESP,2018,24969
GBR,2022,24471
RSA,2017,23871
GBR,2021,23217
RSA,2019,22836
FRA,2009,22587
ESP,2016,22254
USA,2009,22163
RSA,2016,21902
JPN,2013,21706
ESP,2017,20795
ITA,2019,20516
FRA,2020,20315
ITA,2016,19837
GER,2018,19666
ITA,2017,17987
FRA,2008,17896
RSA,2000,17863
USA,2008,17670
CHN,2016,17198
JPN,2012,17116
ITA,2022,16736
GBR,2015,16400
POL,2019,16364
USA,2007,16205
CHN,2021,16172
FRA,2007,16029
RSA,1996,15817
POL,2018,15702
ESP,2014,15541
GER,2016,15110
GER,2019,15019
ESP,2015,14894
ITA,2021,14493
TPE,2016,14123
GER,2017,13965
FRA,2006,13336
GER,2022,13237
TPE,2018,12867
USA,2006,12741
RSA,1997,12306
GBR,2014,11981
HKG,2018,11926
ITA,2015,11783
JPN,2009,11488
ESP,2013,11404
USA,2005,11385
AUS,2018,11336
ITA,2014,11307
JPN,2010,11118
TPE,2019,11117
JPN,2011,11109
TPE,2015,11077
AUS,2022,10750
POL,2022,10548
RSA,2010,10501
JPN,2021,10380
FRA,2004,10311
POL,2021,10278
FRA,2003,10204
USA,2004,10172
FRA,2005,10060
TPE,2017,10022
AUS,2019,9988
ITA,2013,9740
GBR,2013,9735
USA,2003,9662
POL,2017,9631
CAN,2018,9557
GBR,2020,9400
TPE,2020,9229
THA,2020,9116
CAN,2019,8868
GER,2021,8829
ITA,2012,8813
GER,2013,8776
ESP,2012,8738
USA,1999,8716
USA,2002,8714
GER,2014,8505
RSA,2015,8432
POL,2016,8403
AUS,2021,8332
GER,2015,8293
USA,1996,8284
ESP,2021,8121
USA,2001,8073
RSA,2012,8067
USA,2000,8007
THA,2019,8000
POL,2020,7936
MAS,2019,7880
GER,2012,7858
RSA,2011,7841
THA,2022,7827
GBR,2012,7802
GER,2011,7778
FRA,2002,7655
CAN,2022,7648
GER,2009,7573
USA,1997,7504
RSA,2014,7481
USA,1998,7429
CHN,2015,7282
RSA,2001,7216
AUS,2016,7188
HKG,2016,7166
RSA,2013,7123
RSA,2004,7036
CAN,2016,7014
PHI,2018,6994
RSA,1998,6968
BEL,2018,6836
RSA,1999,6803
HKG,2017,6730
CAN,2017,6607
ESP,2011,6430
RSA,2003,6335
BEL,2019,6332
MAS,2018,6323
CHN,2022,6320
ITA,2011,6291
TPE,2013,6291
HKG,2019,6288
GER,2010,6267
TPE,2022,6209
SWE,2018,6167
AUS,2017,6162
JPN,2007,6120
TPE,2014,6076
KOR,2018,6034
BEL,2022,6011
TPE,2021,6004
ESP,2022,5975
JPN,2020,5818
PHI,2019,5805
GBR,2011,5802
JPN,2008,5783
SWE,2019,5711
SUI,2018,5697
POR,2018,5679
GER,1996,5507
POR,2016,5427
TPE,2012,5383
GER,2006,5379
PHI,2015,5348
RUS,2021,5250
GER,2005,5187
FRA,2000,5108
GER,2008,5085
GER,2020,5041
FRA,2001,5039
AUS,2020,5011
AUS,2014,4997
RSA,2002,4953
POR,2017,4925
RSA,2005,4923
RUS,2018,4873
GER,2007,4872
ARG,2018,4864
RUS,2019,4834
RSA,2009,4783
BEL,2017,4776
SUI,2019,4765
JPN,2006,4745
BEL,2016,4707
SWE,2022,4693
AUS,2015,4681
PHI,2014,4679
FRA,1999,4640
KOR,2019,4605
FRA,1998,4528
PHI,2017,4518
MAS,2017,4503
GBR,2010,4465
ESP,2010,4428
KOR,2016,4401
GER,2004,4342
BEL,2021,4327
ARG,2019,4325
CAN,2021,4321
CHN,2014,4302
CAN,2014,4288
RSA,2006,4280
HKG,2014,4264
CAN,2015,4238
RSA,2007,4224
CZE,2018,4220
SUI,2017,4219
BRA,2018,4213
MEX,2018,4167
AUS,2013,4140
ARG,2017,4134
THA,2018,4106
SUI,2022,4101
PHI,2016,4093
ITA,2010,4067
NED,2019,4046
POL,2015,4007
HUN,2018,4002
MAS,2016,3995
PHI,2013,3906
GER,2002,3860
FRA,1996,3855
GER,2003,3805
HKG,2015,3789
SWE,2016,3745
SUI,2016,3731
SWE,2021,3723
RSA,2008,3723
ITA,2009,3715
NED,2018,3696
POR,2019,3684
NED,2022,3503
MEX,2019,3465
ARG,2016,3422
KOR,2017,3398
SWE,2017,3366
HUN,2019,3356
KOR,2007,3342
THA,2017,3329
JPN,2003,3326
ESP,2020,3324
GER,2001,3316
GER,1997,3264
ITA,2008,3252
BEL,2015,3236
NED,2017,3221
GER,2000,3218
SUI,2021,3209
CAN,2013,3209
NZL,2019,3197
ITA,2020,3190
JPN,2005,3172
GER,1998,3159
AUT,2018,3136
POL,2014,3120
THA,2021,3117
MEX,2017,3116
NED,2016,3112
AUS,2012,3082
KOR,2006,3058
BRA,2019,3034
IND,2018,3012
IND,2019,2999
GER,1999,2989
JPN,2004,2961
KOR,2008,2944
CZE,2019,2933
BEL,2014,2930
SWE,2014,2920
RUS,2020,2912
NOR,2018,2907
GBR,2009,2879
RUS,2017,2876
BEL,2013,2854
NZL,2018,2854
CAN,2012,2851
MEX,2016,2823
FIN,2019,2808
FRA,1997,2779
CZE,2016,2764
BRA,2017,2726
SWE,2015,2673
NOR,2019,2672
KOR,2014,2671
AUS,2011,2667
ESP,2009,2664
PHI,2012,2654
POR,2015,2603
KOR,2009,2571
KOR,2022,2565
AUT,2019,2539
FIN,2018,2421
ARG,2021,2415
CZE,2017,2414
GRE,2018,2359
TPE,2010,2322
NED,2015,2306
HUN,2022,2295
AUT,2016,2276
AUS,2010,2276
BEL,2012,2273
NOR,2016,2269
NZL,2020,2250
DEN,2018,2233
ITA,2007,2222
ARG,2015,2221
FIN,2021,2208
POL,2013,2199
SUI,2015,2182
NZL,2016,2173
FIN,2022,2170
SUI,2014,2151
AUT,2017,2121
NZL,2021,2117
GBR,2008,2110
JPN,2001,2109
ITA,2004,2108
CAN,2010,2095
BRA,2016,2093
SUI,2013,2088
KOR,2010,2070
CAN,2011,2064
MAS,2022,2061
KOR,2015,2029
KOR,2011,1996
KOR,2013,1993
AUT,2022,1971
POR,2014,1967
DEN,2019,1961
