distance_km,athlete_gender,athlete_tier,avg_speed,total_athletes
24.5,F,Average,1.1094285714285714,7
24.5,F,Elite,1.352,2
24.5,M,Average,1.2788695652173914,23
24.5,M,Elite,1.719,3
39.0,F,Average,7.4990000000000006,2
39.0,F,Elite,9.17,1
39.0,M,Average,9.301565217391305,23
39.0,M,Elite,12.735999999999999,3
43.291246,F,Elite,7.83,1
43.291246,M,Average,6.376909090909091,11
43.291246,M,Elite,9.783,2
44.0,F,Average,8.03595,20
44.0,F,Elite,10.828000000000001,3
44.0,M,Average,8.829127450980392,102
44.0,M,Elite,12.321769230769231,13
44.4,F,Average,6.9670000000000005,2
44.4,F,Elite,8.523,1
44.4,M,Average,8.328612903225807,31
44.4,M,Elite,10.923,4
45.0,F,Average,6.574808470436426,21699
45.0,F,Elite,10.47156066252588,2415
45.0,M,Average,6.94413815681602,91483
45.0,M,Elite,11.086952306028124,10169
45.06152,F,Average,6.539944680851064,1175
45.06152,F,Elite,9.23845038167939,131
45.06152,M,Average,7.10233807439825,2742
45.06152,M,Elite,10.501226229508196,305
45.1,F,Average,6.519327731092437,119
45.1,F,Elite,11.207357142857143,14
45.1,M,Average,6.553524926686217,341
45.1,M,Elite,12.429435897435898,39
45.18,F,Average,7.883884615384615,26
45.18,F,Elite,9.672333333333333,3
45.18,M,Average,8.89625,44
45.18,M,Elite,12.2288,5
45.2,F,Average,6.848203703703704,162
45.2,F,Elite,10.693222222222223,18
45.2,M,Average,7.165962427745664,692
45.2,M,Elite,11.643948051948053,77
45.222454,F,Average,7.662947368421053,19
45.222454,F,Elite,10.403333333333334,3
45.222454,M,Average,8.394225806451614,31
45.222454,M,Elite,11.9835,4
45.25,F,Average,6.373285714285714,14
45.25,F,Elite,7.7490000000000006,2
45.25,M,Average,6.635897435897435,117
45.25,M,Elite,8.987857142857143,14
45.26,F,Average,7.551166666666667,6
45.26,F,Elite,9.225,1
45.26,M,Average,8.407,23
45.26,M,Elite,11.590000000000002,3
45.3,F,Average,6.43690909090909,165
45.3,F,Elite,9.091473684210527,19
45.3,M,Average,7.220154486586494,1081
45.3,M,Elite,10.498314049586778,121
45.383388,F,Average,6.645030303030303,33
45.383388,F,Elite,10.31025,4
45.383388,M,Average,6.943160377358491,106
45.383388,M,Elite,11.615499999999999,12
45.4,F,Average,7.142831730769231,208
45.4,F,Elite,10.376,24
45.4,M,Average,7.528001265822785,790
45.4,M,Elite,11.4245,88
45.5,F,Average,5.851134730538922,668
45.5,F,Elite,8.531733333333333,75
45.5,M,Average,6.349378992628993,3256
45.5,M,Elite,9.275776243093922,362
45.544322,F,Elite,5.569,1
45.544322,M,Average,6.4135,8
45.544322,M,Elite,8.105666666666666,3
45.6,F,Average,6.756223719676551,742
45.6,F,Elite,9.29501204819277,83
45.6,M,Average,7.499778126508932,4142
45.6,M,Elite,11.007566160520607,461
45.7,F,Average,6.816433962264151,53
45.7,F,Elite,9.551666666666668,6
45.7,M,Average,7.485629166666667,240
45.7,M,Elite,11.383000000000001,27
45.8,F,Average,7.351167487684729,203
45.8,F,Elite,10.32786956521739,23
45.8,M,Average,7.78141924959217,1226
45.8,M,Elite,11.517394160583942,137
45.86619,F,Average,7.035722222222223,144
45.86619,F,Elite,9.618176470588235,17
45.86619,M,Average,7.658515151515152,297
45.86619,M,Elite,10.450818181818182,33
45.9,F,Average,7.272166666666667,36
45.9,F,Elite,9.8754,5
45.9,M,Average,7.126574626865672,134
45.9,M,Elite,10.75194117647059,17
46.0,F,Average,6.330764828925743,6693
46.0,F,Elite,9.3544,745
46.0,M,Average,6.762367951550863,36657
46.0,M,Elite,10.295916891394949,4079
46.1,F,Average,6.64877358490566,106
46.1,F,Elite,9.9325,12
46.1,M,Average,7.11895944055944,715
46.1,M,Elite,10.785187500000001,80
46.188058,F,Average,8.142090909090909,55
46.188058,F,Elite,10.878285714285713,7
46.188058,M,Average,9.036657407407407,108
46.188058,M,Elite,12.000538461538461,13
46.2,F,Average,5.920305555555556,108
46.2,F,Elite,8.863384615384616,13
46.2,M,Average,6.569047863247864,585
46.2,M,Elite,9.746848484848485,66
46.3,F,Average,5.487576923076923,26
46.3,F,Elite,7.533,3
46.3,M,Average,5.928964285714286,140
46.3,M,Elite,8.347125,16
46.348992,F,Average,8.52880612244898,98
46.348992,F,Elite,11.608818181818181,11
46.348992,M,Average,9.50840119760479,167
46.348992,M,Elite,13.403473684210526,19
46.4,F,Average,6.095927884615384,208
46.4,F,Elite,10.18675,24
46.4,M,Average,7.201231746031746,945
46.4,M,Elite,11.330292452830188,106
46.5,F,Average,6.350463035019455,257
46.5,F,Elite,9.256655172413792,29
46.5,M,Average,6.803520621637777,1673
46.5,M,Elite,10.182806451612903,186
46.6,F,Average,4.401264812575574,827
46.6,F,Elite,8.614173913043478,92
46.6,M,Average,5.633967864693447,2365
46.6,M,Elite,9.800205323193918,263
46.67086,F,Average,6.74563,100
46.67086,F,Elite,9.482583333333332,12
46.67086,M,Average,7.3260977011494255,174
46.67086,M,Elite,10.954899999999999,20
46.7,F,Average,7.603248618784531,181
46.7,F,Elite,11.026,21
46.7,M,Average,8.001358757062148,708
46.7,M,Elite,12.401278481012659,79
46.8,F,Average,6.752630769230769,130
46.8,F,Elite,10.081266666666666,15
46.8,M,Average,7.610830656934306,685
46.8,M,Elite,11.789467532467532,77
46.831794,F,Elite,7.033,1
46.831794,M,Average,7.0603,10
46.831794,M,Elite,10.2865,2
46.9,F,Average,6.9685,24
46.9,F,Elite,9.649666666666667,3
46.9,M,Average,7.592992063492064,126
46.9,M,Elite,10.485666666666667,15
47.0,F,Average,6.007023953261927,5135
47.0,F,Elite,9.233574430823117,571
47.0,M,Average,6.632525171102662,26300
47.0,M,Elite,10.41869264957265,2925
47.1,F,Average,5.989111111111111,18
47.1,F,Elite,8.103,2
47.1,M,Average,7.063161616161617,99
47.1,M,Elite,13.83675,12
47.153662000000004,F,Average,8.415,1
47.153662000000004,F,Elite,10.243,1
47.153662000000004,M,Average,8.130363636363636,11
47.153662000000004,M,Elite,10.8165,2
47.2,F,Average,6.400121621621621,74
47.2,F,Elite,9.361777777777778,9
47.2,M,Average,7.333871559633028,218
