race_month,distance_km,race_count
1.0,54.0,4068
1.0,62.0,44
1.0,62.76426,26
1.0,63.0,560
1.0,63.24706199999999,47
1.0,63.9,41
1.0,64.0,829
1.0,64.3736,477
1.0,65.0,79
1.0,66.0,428
1.0,66.6,191
1.0,67.0,122
1.0,68.0,89
1.0,69.0,40
1.0,69.20162,264
1.0,70.0,935
1.0,71.0,19
1.0,71.22,10
1.0,72.0,76
1.0,72.4203,2336
1.0,73.0,3
1.0,74.02964,59
1.0,74.7,50
1.0,74.83431,459
1.0,75.0,259
1.0,75.63898,210
1.0,75.8,15
1.0,76.1,16
1.0,77.24832,430
1.0,78.0,115
1.0,78.05299,2
1.0,78.85766,11
1.0,79.0,60
1.0,79.7,148
1.0,80.0,1643
1.0,80.467,6476
1.0,82.0,280
1.0,83.0,19
1.0,83.68568,355
1.0,84.0,24
1.0,84.812218,3
1.0,86.90436,11
1.0,88.4,4
1.0,89.0,139
1.0,90.0,196
1.0,90.2,26
1.0,91.0,1
1.0,92.5,18
1.0,93.0,1023
1.0,94.0,128
1.0,95.0,40
1.0,95.5,16
1.0,97.0,11
1.0,100.0,20123
1.0,101.0,244
1.0,101.6,3
1.0,102.0,654
1.0,102.99776,198
1.0,103.0,61
1.0,105.0,14
1.0,106.0,79
1.0,108.0,129
1.0,110.0,143
1.0,111.0,31
1.0,115.0,284
1.0,119.0,53
1.0,120.0,14
1.0,120.7005,14
1.0,121.7,4
1.0,125.0,49
1.0,125.52852,18
1.0,128.0,157
1.0,128.7472,32
1.0,130.0,34
1.0,134.0,144
1.0,140.0,23
1.0,144.0,7
1.0,150.0,6
1.0,151.0,71
1.0,160.0,240
1.0,160.934,2123
1.0,161.0,2
1.0,162.0,321
1.0,164.0,266
1.0,167.37136,1
1.0,173.0,28
1.0,173.80872,400
1.0,177.0,12
1.0,180.0,16
1.0,193.1,4
1.0,200.0,157
1.0,201.0,5
1.0,209.2142,16
1.0,213.0,27
1.0,215.65156,10
1.0,217.2609,487
1.0,220.0,4
1.0,236.57298,3
1.0,237.0,4
1.0,240.0,24
1.0,241.401,16
1.0,246.0,5
1.0,250.0,68
1.0,251.05704,12
1.0,257.4944,71
1.0,281.6345,9
1.0,285.0,29
1.0,298.0,20
1.0,321.868,26
1.0,323.0,1
1.0,341.18008,2
1.0,395.89764,25
1.0,431.30312,342
1.0,45.0,6355
1.0,45.06152,113
1.0,45.1,3
1.0,45.18,3
1.0,48.8,25
1.0,52.0,1657
1.0,52.1,67
1.0,52.5,72
1.0,52.6,97
1.0,52.625418,44
1.0,52.9,135
1.0,53.0,2214
1.0,53.1,123
1.0,53.10822,7
1.0,53.4,2
1.0,53.91289,35
1.0,49.0,180
1.0,49.2,78
1.0,49.88954,404
1.0,50.0,48202
1.0,50.2,2
1.0,50.4,30
1.0,50.6,47
1.0,50.9,64
1.0,51.0,887
1.0,51.32,28
1.0,51.4,147
1.0,51.49888,275
1.0,51.5,67
1.0,51.6,28
1.0,51.7,8
1.0,51.8,97
1.0,54.1,70
1.0,54.556625999999994,13
1.0,54.71756,188
1.0,55.0,1494
1.0,55.4,9
1.0,55.5,39
1.0,55.52223,47
1.0,56.0,3367
1.0,56.3269,51
1.0,57.0,1901
1.0,58.0,172
1.0,59.0,702
1.0,60.0,2268
1.0,61.0,43
1.0,61.15492,4
1.0,61.95959,253
1.0,45.4,469
1.0,45.5,1124
1.0,45.6,49
1.0,45.9,9
1.0,46.0,1049
1.0,46.3,17
1.0,46.5,273
1.0,46.7,60
1.0,46.8,74
1.0,47.0,1795
1.0,47.4,25
1.0,47.6,90
1.0,47.9,8
1.0,48.0,489
1.0,48.2802,1035
1.0,48.6,87
2.0,60.5,11
2.0,60.02838199999999,33
2.0,60.0,4024
2.0,59.54558,10
2.0,59.5,2
2.0,58.6,152
2.0,58.0,987
2.0,57.93624,23
2.0,57.1,78
2.0,57.0,594
2.0,56.7,5
2.0,56.648768000000004,138
2.0,56.3269,282
2.0,56.165966,327
2.0,56.0,1600
2.0,55.4,9
2.0,67.0,727
2.0,66.3,8
2.0,66.0,269
2.0,65.5,262
2.0,65.0,2257
2.0,64.5,12
2.0,64.3736,2744
2.0,64.0,1068
2.0,63.0,414
2.0,62.76426,48
2.0,62.7,9
2.0,62.5,2
2.0,62.0,1168
2.0,61.15492,72
2.0,61.1,118
2.0,61.0,787
2.0,76.3,24
2.0,76.0,269
2.0,75.63898,31
2.0,75.0,311
2.0,74.0,307
2.0,72.5,163
2.0,72.4203,572
2.0,72.0,497
2.0,71.5,98
2.0,71.4,27
2.0,71.0,307
2.0,70.0,1567
2.0,69.0,75
2.0,68.6,688
2.0,68.0,40
2.0,67.5,143
2.0,86.0,103
2.0,85.0,1037
2.0,84.7,38
2.0,84.0,396
2.0,83.68568,43
2.0,83.0,96
2.0,82.07634,19
2.0,82.0,1176
2.0,81.5,101
2.0,81.0,156
2.0,80.9,121
2.0,80.467,9550
2.0,80.0,3304
2.0,79.5,244
2.0,78.0,422
2.0,77.0,42
2.0,102.0,2150
2.0,101.2,32
2.0,101.0,207
2.0,100.0,11697
2.0,99.0,7
2.0,96.0,11
2.0,94.0,519
2.0,93.0,51
2.0,92.0,66
2.0,91.0,217
2.0,90.0,216
2.0,89.0,93
2.0,88.5137,366
2.0,88.5,7
2.0,88.0,15
2.0,87.0,251
2.0,115.0,158
2.0,114.26313999999999,112
2.0,113.0,169
2.0,112.0,216
2.0,111.0,743
2.0,110.0,346
2.0,108.0,145
2.0,107.0,281
2.0,106.21644,1383
2.0,106.0,173
2.0,105.0,337
2.0,104.0,121
2.0,103.3,10
2.0,103.0,592
2.0,102.6,105
2.0,102.3,637
2.0,154.0,17
2.0,153.0,4
2.0,150.0,180
2.0,144.8406,24
2.0,143.23126,31
2.0,139.0,3
2.0,135.0,69
2.0,130.0,131
2.0,129.0,182
2.0,128.7472,23
2.0,128.0,525
2.0,125.52852,12
2.0,125.0,1087
2.0,120.0,139
2.0,119.0,31
2.0,115.5,4
2.0,177.0274,32
2.0,176.0,21
2.0,175.0,19
2.0,172.0,20
2.0,170.0,27
2.0,164.95735,91
2.0,164.15268,18
2.0,162.1,25
2.0,162.0,42
2.0,161.0,67
2.0,160.934,6179
2.0,160.0,843
2.0,159.4,34
2.0,158.0,23
2.0,156.0,48
2.0,155.0,81
2.0,218.0,9
2.0,217.2609,136
2.0,213.0,21
2.0,208.0,31
2.0,207.0,16
2.0,206.0,258
2.0,204.0,115
2.0,203.09870800000002,62
2.0,202.0,3
2.0,200.0,427
2.0,197.0,41
2.0,193.1208,51
2.0,190.0,76
2.0,189.90212,99
2.0,180.0,40
2.0,178.63674,75
2.0,269.0,86
2.0,265.0,68
2.0,262.0,52
2.0,260.0,14
2.0,257.4944,10
2.0,250.0,414
2.0,246.0,2
2.0,241.401,19
2.0,236.9,2
2.0,236.0,192
2.0,235.0,122
2.0,233.0,95
2.0,230.0,55
2.0,225.0,51
2.0,222.0,14
2.0,220.0,28
2.0,347.0,13
2.0,321.868,29
2.0,319.0,1
2.0,316.0,69
2.0,315.0,13
2.0,305.0,8
2.0,300.0,74
2.0,298.0,22
2.0,294.50921999999997,6
2.0,292.0,3
2.0,281.0,8
2.0,280.0,9
2.0,278.0,11
2.0,276.5,1
2.0,272.1,38
2.0,270.0,54
2.0,1609.34,5
2.0,1073.0,20
2.0,1050.0,57
2.0,1000.0,12
2.0,934.0,4
2.0,723.0,3
2.0,692.0162,50
2.0,532.7,6
2.0,514.9888,24
2.0,500.0,31
2.0,482.802,71
2.0,413.0,1
2.0,410.0,2
2.0,362.1015,2
2.0,353.0,7
2.0,350.0,62
2.0,55.2,17
2.0,55.0,4494
2.0,54.71756,30
2.0,54.7,158
2.0,54.4,167
2.0,54.395692,101
2.0,54.3,55
2.0,54.23475800000001,4
2.0,54.1,157
2.0,54.0,2584
2.0,53.7,4
2.0,53.6,137
2.0,53.5,200
2.0,53.2,5
2.0,53.10822,573
2.0,53.0,1307
2.0,52.5,376
2.0,52.2,40
2.0,52.142616,103
2.0,52.0,3168
2.0,51.49888,17
2.0,51.0,1498
2.0,50.8,27
2.0,50.5,9
2.0,50.4,76
2.0,50.0,69640
2.0,49.88954,174
2.0,49.5,11
2.0,49.0,382
2.0,48.5,235
2.0,48.2802,194
2.0,48.0,1970
2.0,47.5,8
2.0,47.47553,7
2.0,47.4,41
2.0,47.0,1710
2.0,46.9,115
2.0,46.5,42
2.0,46.2,61
2.0,46.0,977
2.0,45.6,346
2.0,45.5,102
2.0,45.4,185
2.0,45.383388,21
2.0,45.3,66
2.0,45.18,3
2.0,45.06152,134
2.0,45.0,3663
3.0,45.06152,40
3.0,45.3,19
3.0,45.4,27
3.0,45.5,733
3.0,45.6,175
3.0,45.7,84
3.0,45.8,61
3.0,46.0,10118
3.0,46.1,224
3.0,46.5,7
3.0,46.6,1181
3.0,46.7,536
3.0,46.8,546
3.0,46.9,22
3.0,47.0,4999
3.0,52.2,557
3.0,52.0,3079
3.0,50.0,140771
3.0,50.1,13
3.0,50.2,72
3.0,50.3,88
3.0,50.5,451
3.0,50.6,11
3.0,50.69421,72
3.0,50.8,22
3.0,51.0,2239
